# resolution=16
# scale=1.0
# transform=0,0,0
r,g,b,a
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
11,2,1,16
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
77,18,9,118
128,30,15,197
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
44,10,5,67
166,39,20,255
166,39,20,255
89,21,10,137
0,0,0,0
0,0,0,0
0,0,0,0
15,2,2,15
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
63,10,8,63
219,36,29,220
116,19,15,116
8,2,1,13
156,44,27,239
166,46,28,255
166,46,28,255
166,46,28,255
24,7,5,37
0,0,0,0
0,0,0,0
203,33,27,204
164,27,22,165
31,5,4,31
0,0,0,0
0,0,0,0
64,12,8,81
28,5,3,35
0,0,0,0
32,30,28,47
172,162,153,255
131,124,118,255
112,106,102,255
172,162,153,255
53,50,47,79
0,0,0,0
1,0,0,3
100,21,12,137
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
121,28,14,187
92,21,11,141
0,0,0,0
32,30,28,47
172,162,153,255
101,97,93,255
78,75,73,255
172,162,153,255
53,50,47,79
0,0,0,0
53,12,6,82
157,37,19,242
0,0,0,0
0,0,0,0
0,0,0,0
32,7,3,49
166,39,20,255
160,37,19,247
11,2,1,17
36,34,32,47
203,194,184,255
188,181,171,255
182,175,166,255
203,195,184,255
58,55,52,79
8,2,1,12
148,34,17,228
166,39,20,255
90,21,11,139
0,0,0,0
0,0,0,0
107,60,51,186
148,92,80,255
144,87,76,255
94,56,48,160
30,27,26,47
151,143,136,255
146,140,133,255
152,144,137,254
150,143,136,254
49,47,44,79
81,62,57,121
141,104,95,255
141,104,95,255
144,107,98,255
20,18,16,29
0,0,0,0
108,102,97,185
154,145,138,255
151,143,135,255
109,104,98,173
69,66,63,87
174,164,155,255
179,169,160,255
184,175,165,255
172,162,153,255
97,93,88,123
96,92,87,131
145,138,131,255
145,137,130,255
148,140,133,255
0,0,0,1
0,0,0,0
71,69,65,133
137,132,126,255
137,132,126,255
185,178,169,255
229,221,210,255
207,198,188,255
214,206,195,255
229,221,210,255
200,191,181,255
229,221,210,255
215,207,197,255
137,132,126,255
137,132,126,255
110,106,101,204
0,0,0,0
0,0,0,0
14,13,13,26
154,147,139,255
154,147,139,255
163,154,146,255
172,162,153,255
172,162,153,255
160,151,143,254
141,133,127,255
172,162,153,255
172,162,153,255
172,162,153,255
150,143,136,255
154,147,139,255
77,73,69,128
0,0,0,0
0,0,0,0
0,0,0,0
176,166,157,255
188,179,169,255
163,154,146,255
178,169,160,255
171,162,154,255
130,124,118,254
134,126,120,255
139,132,126,255
172,162,153,255
172,162,153,255
163,154,146,255
172,162,153,255
86,81,76,127
0,0,0,0
0,0,0,0
0,0,0,0
172,162,153,255
172,162,153,255
163,154,146,255
189,180,171,255
137,130,124,255
124,97,87,255
125,92,81,255
127,113,106,255
180,170,161,255
178,169,160,255
163,154,146,255
172,162,153,255
86,81,76,127
0,0,0,0
0,0,0,0
0,0,0,0
172,162,153,255
172,162,153,255
163,154,146,255
172,162,153,255
135,129,123,255
121,91,81,255
126,93,81,255
127,109,101,255
161,152,144,255
172,162,153,255
173,165,156,255
182,173,163,255
86,81,76,127
0,0,0,0
0,0,0,0
0,0,0,0
129,121,114,191
129,121,114,191
122,115,109,191
129,121,114,191
102,97,93,191
91,68,60,191
95,69,61,191
97,85,79,191
120,113,107,191
129,121,114,191
122,115,109,191
129,121,114,191
56,53,50,83
0,0,0,0
