# resolution=16
# scale=1.0
# transform=0,0,0
r,g,b,a
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,4,4,9
35,36,36,84
49,49,50,127
40,40,41,95
11,11,11,26
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
39,39,40,101
65,66,67,237
62,62,62,255
68,68,69,255
61,61,62,255
65,65,66,255
48,49,50,134
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
48,48,49,131
62,62,63,255
101,102,103,255
152,153,154,255
225,225,226,255
223,224,224,255
144,145,146,255
59,59,59,255
62,62,63,183
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
18,18,19,43
63,64,64,255
103,104,106,255
108,109,111,255
248,248,248,255
255,255,255,255
255,255,255,255
251,251,251,255
111,112,113,255
56,56,57,255
20,20,21,48
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
54,55,55,162
73,73,74,255
108,109,111,255
158,159,160,255
255,222,179,255
255,180,48,255
255,188,104,255
255,254,254,255
166,167,168,255
76,76,77,255
52,53,53,157
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
56,57,57,204
89,90,91,255
132,133,135,255
246,246,246,255
255,173,32,255
255,163,1,255
255,142,0,255
255,226,189,255
175,176,178,255
91,92,93,255
52,53,53,191
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
56,57,57,203
86,86,87,255
216,216,217,255
255,255,255,255
255,188,93,255
255,143,0,255
255,147,12,255
255,241,224,255
156,158,159,255
86,87,88,255
56,56,57,191
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
53,53,54,156
69,69,70,255
221,221,221,255
255,255,255,255
255,254,254,255
255,227,192,255
255,240,222,255
253,253,253,255
109,111,113,255
69,70,70,255
46,46,47,128
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
14,14,15,34
63,63,64,251
124,124,126,255
225,226,226,255
245,245,245,255
252,252,252,255
243,243,243,255
141,143,145,255
90,91,92,255
62,62,63,248
7,7,7,17
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
41,41,42,107
55,55,56,255
84,85,86,255
104,105,107,255
101,103,105,255
96,98,100,255
81,82,83,255
49,49,49,255
38,39,39,109
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
31,31,32,80
65,65,66,216
62,62,63,255
58,58,59,255
63,63,64,255
66,67,68,226
47,47,47,255
35,35,35,190
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
13,13,13,31
27,27,27,63
7,8,8,18
1,1,1,4
62,62,63,227
47,47,47,255
17,17,17,90
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
18,18,19,43
58,58,59,243
50,50,50,251
9,9,9,52
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
35,35,35,92
54,54,54,216
51,51,52,211
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
43,44,44,130
59,60,60,227
0,0,0,0
0,0,0,0
