# resolution=8
# scale=1.0
# transform=0,0,0
r,g,b,a
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,3,4,7
80,97,109,128
171,186,197,214
195,208,218,233
125,143,156,176
1,7,11,17
0,0,0,0
0,0,0,0
118,142,158,185
244,248,251,255
186,213,229,255
197,222,235,255
177,201,216,243
2,10,15,23
0,0,0,0
18,33,43,60
243,247,250,255
181,211,228,255
85,186,217,254
21,70,82,95
113,135,150,175
21,37,49,67
0,0,0,0
70,88,100,120
255,255,255,255
245,248,251,255
152,201,223,254
17,57,67,77
0,0,0,0
0,0,0,0
0,0,0,0
69,88,101,123
147,192,216,255
41,146,191,255
46,157,199,255
43,146,183,230
7,26,33,44
0,0,0,0
0,0,0,0
18,35,47,67
49,128,177,255
34,127,177,255
36,132,180,255
35,131,180,255
32,121,171,248
15,61,91,140
3,13,20,32
0,0,0,0
5,23,35,54
0,0,0,0
5,23,34,53
13,53,80,124
16,68,102,159
15,61,92,143
4,17,26,41
