# resolution=16
# scale=1.0
# transform=0,0,0
r,g,b,a
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
42,11,9,47
149,39,34,164
177,47,41,197
152,39,37,183
55,13,13,69
0,0,0,0
0,0,0,0
21,5,4,22
151,40,34,164
179,47,41,198
154,39,37,185
72,18,18,90
0,0,0,0
0,0,0,0
0,0,0,0
54,14,12,56
244,72,59,255
251,113,102,255
248,94,82,255
244,67,54,255
218,56,52,255
100,25,25,125
44,12,9,46
229,64,52,240
251,115,104,255
248,92,80,255
244,67,54,255
222,58,52,255
106,26,26,132
0,0,0,0
0,0,0,0
172,47,38,181
251,116,105,255
255,138,128,255
249,101,90,255
244,67,54,255
242,66,53,255
204,51,50,251
192,52,42,201
248,99,87,255
254,135,125,255
247,89,77,255
244,67,54,255
242,66,53,255
197,49,49,247
5,1,1,6
0,0,0,0
240,65,53,251
254,131,121,255
249,99,87,255
244,67,54,255
244,67,54,255
244,67,54,255
233,62,53,255
244,67,54,255
245,73,60,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
204,51,51,255
50,12,12,62
0,0,0,0
225,61,49,236
251,113,102,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
204,51,51,255
37,9,9,47
0,0,0,0
162,44,35,169
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
239,65,53,255
186,46,46,233
0,0,0,0
0,0,0,0
63,17,14,66
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
223,58,52,255
104,26,26,130
0,0,0,0
0,0,0,0
0,0,0,0
174,47,38,182
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
236,64,53,255
184,46,46,230
2,0,0,3
0,0,0,0
0,0,0,0
0,0,0,0
16,4,3,16
210,57,46,220
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
206,52,50,249
43,10,10,54
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
17,4,4,18
226,62,50,237
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
217,56,51,254
44,11,11,54
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
43,12,9,45
223,61,49,233
244,67,54,255
244,67,54,255
244,67,54,255
244,67,54,255
220,57,51,252
74,18,18,92
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
15,4,3,15
200,54,44,209
244,67,54,255
244,67,54,255
214,57,49,240
38,9,9,47
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
14,3,3,14
165,45,36,173
195,52,44,213
35,8,8,43
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
